TITLE ORIGINAL,AUTHORS,PUBLICATION YEAR
"Determinanten en Correlaten van Geluk.","Bakker, P.; VandeBerg, N.","1974"
"De Nederlander: een Individualistisch Kuddedier.","Bakker, S.; Landsmeer, M.","1985"
"Een Leven zonder Kinderen: Ongewilde Kinderloosheid, Beleving, Stress en Aanpassing.","VanBalen, F.","1991"
"Once More, with Feeling: Psychotherapy Revisited.","Balkin, J.L.","1968"
"An Attitudinal Correlate of the Timing of a Major Life Event: The Case of Morale in Widowhood.","Balkwell, C.","1985"
"Marital Status, Household Structure, and Life Satisfaction of Black Women.","Ball, R.E.","1983"
"Marital Status and Life Satisfaction of Black Men.","Ball, R.E.; Robbins, L.","1984"
"Marital Status and Life Satisfaction of Black Americans.","Ball, R.E.; Robbins, L.","1986"
"Religious Orthodoxy and Emotionality.","Balswick, J.O.; Balkwell, J.W.","1978"
"The Moderating Effects of Occupation, Age, and Urbanization on the Relationship between Job Satisfaction and Life Satisfaction.","Bamundo, P.J.; Kopelman, R.E.","1980"
"Effects of Friendship Support on the Psychological Well-Being of Widows.","Bankoff, E.A.","1981"
"Social Support and Adaptation to Widowhood.","Bankoff, E.A.","1983"
"Nursing Homes for the Birds: A Control- Relevant Intervention with Bird Feeders.","Banziger, G.; Roush, S.","1983"
"The Relationship of Personal Financial Status to the Utilization of Community Mental Health Centers in Rural Appalachia.","Banziger, G.; Foos, D.","1983"
"Personal Dissatisfaction.","Barnes, S.H.; Farah, B.G.; Heunks, T","1979"
"Mothers' Participation in Childcare: Patterns and Consequences.","Barnett, R.C.; Baruch, G.K.","1987"
"The Pursuit of Happiness in Jefferson and its Background in Bacon and Hobbes.","Barnouw, J.","1983"
"An Empirical Search for Stages of Widowhood.","Barrett, C.J.; Schneweis, K.M.","1980"
"Happiness.","Barrow, R.","1980"
"Utilitarianism: A Contemporary Statement.","Barrow, R.","1991"
"The Effects of Discharge on Long-Stay Psychiatric Patients.","Barr, R.; Parker, G.","1975"
"A Study of Happiness and Unhappiness in the Childhood and Adolescence of Girls in Different Cultures.","Barschak, E.","1951"
"Adult Daughters' Relationships with their Mothers.","Baruch, G.K.; Barnett, R.C.","1983"
"Werkloosheidsbeleving en Ervaren Gezondheid onder Vrouwen in Vergelijking tot Mannen.","Bastiaansen, J.P.; Spruit, I.P.; VanNieuwenhuijzen, M.G.; Verkleij, H.","1985"
"Stability of Life Satisfaction in Late Life.","Baur, P.A.; Okun, M.A.","1983"
"China und die Hoffnung auf Glück: Paradiese, Utopien, Idealvorstellungen.","Bauer, W.","1971"
"Ackerbau im Paradies: Glücksvorstellungen im Alten und Neuen China.","Bauer, W.","1976"
"Tendenzen der Gegenwärtigen Glücksdiskussion.","Bäumer, R.M.; Helmes, G.","1983"
"Märchenglück.","Bausinger, H.","1983"
"Directed Recall of Pleasant and Unpleasant Experiences.","Baxter, M.F.; Washburn, M.F.; Yamada, K.","1917"
"Generational Differences in Well-being for two European Groups.","Beals, J.","1985"
"No Great Expectations: The Nature of Life Satisfaction in a Sample of Elderly Women.","Bearon, L.B.","1982"
"Werklozen, Arbeidsongeschikten en Werkenden Vergeleken.","Becker, J.W.; Vink, R.","1984"
"Theoretische Grundlagen.","Becker, P.","1991"
"Rampbewustzijn in Nederland.","Becker, J.W.; Ester, P.","1987"
"Effects of Social Interaction and Children's Relative Inputs on Older Women's Psychological Well-Being.","Beckman, L.J.","1981"
"An Index of Adjustment to Life in Later Maturity.","Beckman, R.O.; Fisher, G.C.; Williams, C.D.","1958"
"Individual Differences in Self-Perception and the Job-Life Satisfaction Relationship.","Bedeian, A.G.; Marbert, L.D.","1979"
"Components and Correlates of Mental Well-Being.","Beiser, M.","1974"
"Les Relations entre les Activités Obligatoires, les Loisirs. la Satisfaction de vivre et l'Ennui dans un Groupe de Pers.Agées.","Bélanger, L.; Delisle, M.A.","1979"
"Glück und Zufriedenheit.","Bellebaum, A.","1992"
